premise	hypothesis	premise_atomic	hypothesis_atomic	labels
Inštitut spodbuja tudi sodelovanje študentov, raziskovalcev in gospodarstvenikov na skupnih raziskovalno-razvojnih projektih.	Na področju raziskav v okviru inštituta delujejo osebe, ki še pridobivajo izobrazbo na fakultetah, razni aktivni raziskovalci in ljudje s področja gospodarstva.	Inštitut verjame, da multidisciplinarno sodelovanje med akademskim sektorjem in industrijo omogoča izmenjavo znanj in izkušenj, kar vodi do inovativnih rešitev in tehnološkega napredka.	študenti, ki študirajo na fakulteti, pridobitjo zaposlitev na izbranem poklicnem področju študija.	entailment
Inštitut spodbuja tudi sodelovanje študentov, raziskovalcev in gospodarstvenikov na skupnih raziskovalno-razvojnih projektih.	Ker ne spodbuja sodelovanja, se na inštitutu trudijo vzpostaviti individualno delo pri posameznih skupinah izobražencev na področju razvoja in raziskav.	Inštitut verjame, da multidisciplinarno sodelovanje med akademskim sektorjem in industrijo omogoča izmenjavo znanj in izkušenj, kar vodi do inovativnih rešitev in tehnološkega napredka.	Inštitutne ne ponuja sodelovanja	contradiction
Inštitut spodbuja tudi sodelovanje študentov, raziskovalcev in gospodarstvenikov na skupnih raziskovalno-razvojnih projektih.	Institucija si želi sodelovanja ljudi, ki študirajo na fakultetah, ljudi v raziskavah in pomembnežev v gospodarstvu na projektih za raziskave in razvoj.	Inštitut verjame, da multidisciplinarno sodelovanje med akademskim sektorjem in industrijo omogoča izmenjavo znanj in izkušenj, kar vodi do inovativnih rešitev in tehnološkega napredka.	Institucija si želi da se pridružijo fakultete in podjetja in sodelujejo pri projektu in se povežeta.	entailment
Ko sem ležal, nisem mogel misliti na nič drugega kot na ta prvi dan.	Tudi ko sem se zleknil, se mi spomin na prvi dan ni priklical.	Jaz sem mislil le na prvi dan	Moj spomin se ne povrne	contradiction
Ko sem ležal, nisem mogel misliti na nič drugega kot na ta prvi dan.	Leže, mi je po mislih nenehno švigal le spomin na prvi dan.	Jaz sem mislil le na prvi dan	Jaz mislim le na prvi dan	entailment
Ko sem ležal, nisem mogel misliti na nič drugega kot na ta prvi dan.	Kadarkoli ležim se moje misli spominjajo preteklih dogodkov.	Jaz sem mislil le na prvi dan	Jaz mislim o preteklih dogodkih	neutral
ahm... in kaj jih bo doletelo...	Ne vem, kako bodo prenesli bolečino, ki jo bodo izkusili.	Že sama misel na prihajajoče težave jih preplavlja z občutkom nemoči	še neprenešene bolečine so grozne	neutral
ahm... in kaj jih bo doletelo...	Hmm… Kakšna pa bo njihova kazen?	Že sama misel na prihajajoče težave jih preplavlja z občutkom nemoči	Kazen je še nedoločena	entailment
ahm... in kaj jih bo doletelo...	Ahh… Naj jim že spregledajo.	Že sama misel na prihajajoče težave jih preplavlja z občutkom nemoči	Njim bo odpuščeno	contradiction
ŠTIRINAJSTI ODSTAVEK: DEL PLAČE ZA DELOVNO USPEŠNOST JE TISTI DEL PLAČE, KI GA LAHKO PREJME JAVNI USLUŽBENEC IN FUNKCIONAR ZA NADPOVPREČNO USPEŠNO OPRAVLJENO DELO V DOLOČENEM OBDOBJU.	14. ODSTAVEK: JAVNI USLUŽBENEC ALI FINKCIONAR SME BITI S STRANI DELODAJALCA NOMINIRAN ZA PREJTEJE DODATKA ZA DELOVNO USPEŠNOST, KI ŠTEJE 10 ODSTOTKOV NJEGOVE OSNOVNE PLAČE.	Ta določba omogoča nagrajevanje javnih uslužbencev in funkcionarjev, ki so v svojem delu dosegli več kot je bilo pričakovano, s čimer se spodbuja motivacija in prizadevanje za visoko raven profesionalnosti v javnem sektorju	o določilo omogoča nagrajevanje posameznikov za izjemne dosežke in spodbuja produktivnost v javnem sektorju.	neutral
ŠTIRINAJSTI ODSTAVEK: DEL PLAČE ZA DELOVNO USPEŠNOST JE TISTI DEL PLAČE, KI GA LAHKO PREJME JAVNI USLUŽBENEC IN FUNKCIONAR ZA NADPOVPREČNO USPEŠNO OPRAVLJENO DELO V DOLOČENEM OBDOBJU.	14. ODSTAVEK: ČE ZAPOSLENI V JAVNI UPRAVI IZKAZUJE NADPOVPREČNI USPEH PRI DELU V DOLOČENI ČASOVNI DOBI, PREJME POLEG PLAČE ŠE DODATEK ZA USPEŠNOST PRI DELU.	Ta določba omogoča nagrajevanje javnih uslužbencev in funkcionarjev, ki so v svojem delu dosegli več kot je bilo pričakovano, s čimer se spodbuja motivacija in prizadevanje za visoko raven profesionalnosti v javnem sektorju	Dodatek služi kot finančna motivacija za vzdrževanje visokih delovnih standardov	entailment
ŠTIRINAJSTI ODSTAVEK: DEL PLAČE ZA DELOVNO USPEŠNOST JE TISTI DEL PLAČE, KI GA LAHKO PREJME JAVNI USLUŽBENEC IN FUNKCIONAR ZA NADPOVPREČNO USPEŠNO OPRAVLJENO DELO V DOLOČENEM OBDOBJU.	14. ODSTAVEK: DEL PLAČE ZA DELOVNO USPEŠNOST SE NE PODELJUJE DELAVCEM V JAVNI UPRAVI, TUDI ČE SO PRI SVOJEM DELU USPEŠNEJŠI OD OSTALIH.	Ta določba omogoča nagrajevanje javnih uslužbencev in funkcionarjev, ki so v svojem delu dosegli več kot je bilo pričakovano, s čimer se spodbuja motivacija in prizadevanje za visoko raven profesionalnosti v javnem sektorju	Ta pravilo poudarja, da se v nekaterih primerih dodatki za uspešnost ne izplačujejo avtomatično, temveč po posebnih kriterijih	contradiction
Glas se ji je zlomil in v očeh so jo zapekle solze.	Ne vem, kaj sem takega rekel, da je postala tako žalostna.	Solze in zlomljen glas so znak žalosti	Izjava izraža zmedenost in presenečenje nad nenadno čustveno reakcijo druge osebe	neutral
Glas se ji je zlomil in v očeh so jo zapekle solze.	Od veselja se je komaj zadrževala, njen glas pa je bil barvit in srečen.	Solze in zlomljen glas so znak žalosti	Opisuje osebo, ki je izredno vesela in to čustvo izraža z vznemirjenostjo in živahnostjo v glasu	contradiction
Pri materialnopravni presoji izpodbijane sodbe pa je revizijsko sodišče vezano na dejansko stanje, kot ga je ugotovilo sodišče prve stopnje in pri svoji odločitvi upoštevalo sodišče druge stopnje.	Pri presojanju po načelih materialnega prava, ali se sodba ustrezno izpodbija, je sodna oblast, ki odloča o reviziji, primorana upoštevati zgolj stanje ugotovljeno s strani sodišč prve in prej druge stopnje.	Revizijsko sodišče pri svoji odločitvi temelji na dejstvih in okoliščinah, ki jih je že preverilo in priznalo sodišče prve ali druge stopnje, in je pri svojih presojah omejeno na ta ugotovljena dejstva	To poudarja, da revizijsko sodišče svoje odločitve temelji izključno na dejstvih in dokazih, ki so bili že ugotovljeni in potrjeni v predhodnih postopkih	entailment
Pri materialnopravni presoji izpodbijane sodbe pa je revizijsko sodišče vezano na dejansko stanje, kot ga je ugotovilo sodišče prve stopnje in pri svoji odločitvi upoštevalo sodišče druge stopnje.	V kolikor je vložena vloga proti že odločeni sodbi, revizija presoja materialnopravno glede na stanje, ki ga je ugotovilo drugostopenjsko sodišče, in ne upošteva spoznanj prvostopenjskega sodišča.	Revizijsko sodišče pri svoji odločitvi temelji na dejstvih in okoliščinah, ki jih je že preverilo in priznalo sodišče prve ali druge stopnje, in je pri svojih presojah omejeno na ta ugotovljena dejstva	Stavek razlaga, da revizijski postopek ne vključuje ponovne ocene dejstev, ki so jih že obravnavala nižja sodišča	contradiction
Pri materialnopravni presoji izpodbijane sodbe pa je revizijsko sodišče vezano na dejansko stanje, kot ga je ugotovilo sodišče prve stopnje in pri svoji odločitvi upoštevalo sodišče druge stopnje.	Na vsakršen razplet sodbe se je moč pritožiti, kar sproži postopek revizijske preiskave, ki natančno presoja ustreznost sojenja glede na ugotovitve in spoznanja sodišč različnih stopenj.	Revizijsko sodišče pri svoji odločitvi temelji na dejstvih in okoliščinah, ki jih je že preverilo in priznalo sodišče prve ali druge stopnje, in je pri svojih presojah omejeno na ta ugotovljena dejstva	Izpostavlja možnost pritožbe in revizije sodnih odločitev, ki omogoča dodatno preverjanje pravilnosti in pravičnosti sojenja	neutral
Proučuje vlogo fotografije pri razširjanju negativnih predstav in stereotipov o Romih.	Študira vlogo imeli fotografskih posnetkov pri širitvi negative in stereotipnega dojemanja Romov.	Romi so skupina za katero obstajajo negativne predstave	Fotografija ima negativno vlogo pri stereotipih	entailment
Proučuje vlogo fotografije pri razširjanju negativnih predstav in stereotipov o Romih.	Zanima se za pozitivni učinek, ki ga je osnovalo foto gradivo o pripadnikih romske narodnosti.	Romi so skupina za katero obstajajo negativne predstave	Fotografija lahko pozitivno prikaže določene skupine	contradiction
Proučuje vlogo fotografije pri razširjanju negativnih predstav in stereotipov o Romih.	Začel je študijem vpliva raznega gradiva na dojemanje in predstave o Romih pri drugih nacijah.	Romi so skupina za katero obstajajo negativne predstave	Veliko raznega gtradiva vpliva na predstave o Romih	neutral
